Имя,Дата защиты,Ученая степень,Научный руководитель:,Официальные оппоненты:,Работа выполнена в:,Ведущая организация:,Диссертационный совет:,Научный консультант:,Научный руководитель / консультант:,Работа выполнена:,Дата защиты:,Работа выполнена в,Работа выполнена на:,V1,"Работа
выполнена в:","Работа выполнена
в:","Ведущая
организация:",Работа выполнена на,Научные руководители:,Научный консультант,Работа выполнена,"Ведущая 
 организация:","Научный
руководитель:",Научные консультанты:,Научный руководитель,Официальные оппоненты,"Организация, где выполнена работа",Ведущая организация,Диссертация защищена,  Фото,Тамбовский государственный университет им. Г.Р. Державина,Диссертационный совет: 12.10.419,Фото,"Организация, где выполнена диссертация",V2
Авдийский Владимир Иванович, 2002 год, доктор юридических наук,,"",Санкт-Петербургский университет МВД России,"","","",,,2002,,,,,,,,,,,,,,,,,,,,,,,,
Аведов Юрий Борисович, 2009 год, кандидат медицинских наук,"Боднева Светлана Леопольдовна, Пузин Михаил Никифорович","Рыбак Вера Александровна,
Малорян Евгений Яковлевич",Институте повышения квалификации Федерального медико-биологического агентства России,Саратовский государственный медицинский университет,208.120.01 Институт повышения квалификации Федерального медико-биологического агентства России,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Аверьянов Юрий Тимофеевич, 22 февраля 2006 года, кандидат экономических наук,Калашникова Ирина Владимировна,"Карташов Сергей Александрович,
Шуракова Ольга Ивановна",,Российская экономическая академия им Г.В. Плеханова РЭА,218.003.02 Дальневосточного государственного университета путей сообщения,,,,,Дальневосточной академии гос. службы,,,,,,,,,,,,,,,,,,,,,,,
Авкопашвили Павел Тамазович, 30 мая 2012 года, кандидат экономических наук,Лобова Светлана Владиславльевна,"Кожевина Ольга Владимировна,
Миллер Александр Иванович",Алтайская академия экономики и права (институт),Кубанский государственный университет,212.005.05 Алтайский государственный университет,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Авралев Никита Владимирович, 27 сентября 2006 года, кандидат политических наук,Устинкин Сергей Васильевич,"Казаков Михаил Анатольевич,
Молокин Алексей Станиславович",Нижегородском государственном университете им. Н И. Лобачевского,Волго-Вятская академия государственной службы,212.166.10 при Нижегородском государственном университете им. Н И. Лобачевского,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Автионова Наталья Владимировна, 25 марта 2010 года, кандидат педагогических наук,Вольхин Сергей Николаевич,"Ядвиршис Людмила Анатольевна, Разумова Елена Дмитриевна",РГСУ,Шуйский государственный педагогический университет,212.341.06  РГСУ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Агабабян Шаген Леваевич, 27 ноября 2008 года, кандидат политических наук,Слизовский Дмитрий Егорович,"Ирхин Юрий Васильевич,
Юханов Николай Семенович",Российский университет дружбы народов (РУДН),Московский государственный университет им МВ Ломоносова,212.203.20 Российский университет дружбы народов (РУДН),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Агаджанян Арсен Гайкович," неизвестна, диссертация написана в 2003 г. ", кандидат исторических наук,,нет данных,,нет данных,нет данных,,Митволь Олег Львович,МПГУ,,,,,,,,,,,,,,,,,,,,,,,,,
Агаджанян Арсен Гайкович, 19 июня 2006 года, доктор исторических наук,,"Криворученко Владимир Константинович,
Уткин Анатолий Иванович, Пыжиков Александр Владимирович",,Московский государственный открытый педагогический университет им. М.А. Шолохова,Д 212.154.01 при МПГУ – «даниловский»,"",,,,,"кафедре истории факультета социологии, экономики и права Московского педагогического государственного университета (МПГУ)",,,,,,,,,,,,,,,,,,,,,,
Адамян Луиза Игоревна, 15 октября 2012 года, кандидат психологических наук,Морозюк Светлана Николаевна,"Веракса Николай Евгеньевич,
Кисельникова Наталья Владимировна",Московский педагогический государственный университет МПГУ,РАНХиГС,212.154.04  МПГУ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Адамянц Сюзанна Тиграновна, 31 октября 2007, кандидат юридических наук,Енгибарян Роберт Вачаганович,"Дегтев Генадий Валентинович, Чапчиков Сергей Юрьевич",Московский государственный институт международных отношений МГИМО,Российская академия государственной службы РАГС,Д 209.002.01 Московский государственный институт международных отношений МГИМО,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Аджаматова Джаннета Солтаналиевна, 27 ноября 2008 года, кандидат экономических наук,Дохолян Сергей Владимирович,"Петросянц Виктор Завенович,
Аджиев С. А.",Институте социально-экономических исследований ДНЦ РАН,Дагестанский государственный университет,002.089.01 в Институте социально-экономических исследований ДНЦ РАН,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Адулова Елена Сергеевна, 23 июня 2009 года, кандидат политических наук,Макаренков Евгений Викторович,"Мельков Сергей Анатольевич,
Чернякин Владимир Геннадьевич",Московской государственной академии водного транспорта,Российская экономическая академия им.Г.В.Плеханова,212.141.20 при Московском государственном техническом университете им. Н.Э. Баумана,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Адыев  Анас  Анварович, 29 мая 2007 года, кандидат юридических наук,Горбачев Иван Георгиевич,"Сафонов Владимир Евгеньевич, Павлушина Алла Александровна",Казанский государственный университет им В И Ульянова-Ленина,Башкирская академия государственной службы и управления при Президенте Республики Башкортостан,212.081.01 Казанский государственный университет им В И Ульянова-Ленина,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ажмуратова Мадина Ажмамбетовна, 2004 год, кандидат экономических наук,Гвоздиков Александр Васильевич,"",Ставропольский государственный аграрный университет,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Азаренко Вера Михайловна,"  неизвестна, диссертация написана в 2008 году", кандидат исторических наук,,,,,,,,,,,,| 1| 2| 3| 4| 5| 6| ... | 252,,,,,,,,,,,,,,,,,,,,,
Имя,Дата защиты,Ученая степень,,,,,,,,,,,,next »,,,,,,,,,,,,,,,,,,,,,
Азиева Раиса Хусаиновна, 31 мая 2012 года, доктор экономических наук,,"Колбачев Евгений Борисович,
Дзанайты Хадзымат Георгиевич, Моргоев Борис Темирболатович",Институт информатики и проблем регионального управления Кабардино-Балкарского научного центра Российской академии наук,Дагестанский государственный технический университет,212.246.03 Северо-Кавказский горно-металлургический институт,Иванов Петр Мацович,,,,,,,,,,,,,,,,,,,,,,,,,,,
Азнаев Аркадий Михайлович, 26 декабря 2008 года, кандидат юридических наук,Сафонов Владимир Евгеньевич,"Ширяев Юрий Егорович,
Дудко Ирина Александровна",,Ульяновский государственный университет,212.341.04 Российский государственный социальный университет,,,на кафедре конституционного и административного права Юридического института (Санкт-Петербург),,,,,,,,,,,,,,,,,,,,,,,,,
